Overall Place,Gender Place,Division Place,Name,BIB,Team,Half,Finish Net,Finish Gun
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Place Overall,Place Gender,Place Overall,Name,,,,,
2093,103,2093,"Winslow, Danielle","Team
–","Team
–","HALF
01:26:55","Finish Net
02:56:17","Finish Gun
03:00:19"
2094,104,2094,"Schellhammer, Allison","Team
–","Team
–","HALF
01:26:29","Finish Net
02:56:17","Finish Gun
03:00:34"
2095,105,2095,"Kizershot White, Michaela","Team
–","Team
–","HALF
01:25:02","Finish Net
02:56:17","Finish Gun
02:59:58"
2104,106,2104,"Dambrosia, Katie","Team
–","Team
–","HALF
01:26:05","Finish Net
02:56:22","Finish Gun
03:00:11"
2108,107,2108,"Baeza Fuentes, Sofia Carolina","Team
–","Team
–","HALF
01:23:55","Finish Net
02:56:22","Finish Gun
03:01:17"
2111,108,2111,"Morrissey, Katrina","Team
–","Team
–","HALF
01:23:20","Finish Net
02:56:23","Finish Gun
02:56:50"
2141,109,2141,"Hoffstadt, Christin","Team
–","Team
–","HALF
01:27:23","Finish Net
02:56:32","Finish Gun
02:57:07"
2143,110,2143,"Howe, Emma","Team
Tracksmith Boston Hares","Team
Tracksmith Boston Hares","HALF
01:27:12","Finish Net
02:56:33","Finish Gun
02:58:39"
2148,111,2148,"Brash, Lucy","Team
–","Team
–","HALF
01:25:11","Finish Net
02:56:34","Finish Gun
02:59:33"
2149,112,2149,"Haug, Heather","Team
–","Team
–","HALF
01:23:41","Finish Net
02:56:34","Finish Gun
03:00:07"
2157,113,2157,"Veneziano, Lisa","Team
–","Team
–","HALF
01:28:19","Finish Net
02:56:36","Finish Gun
03:01:08"
2177,114,2177,"Priebe, Maggie","Team
–","Team
–","HALF
01:26:20","Finish Net
02:56:43","Finish Gun
02:56:59"
2183,115,2183,"Dixon, Kimberly","Team
–","Team
–","HALF
01:28:43","Finish Net
02:56:46","Finish Gun
03:02:14"
2187,116,2187,"Miller, Caitlyn","Team
Outta Pocket Track Club","Team
Outta Pocket Track Club","HALF
01:25:45","Finish Net
02:56:48","Finish Gun
03:00:18"
2211,117,2211,"Lee, Andrea","Team
–","Team
–","HALF
01:23:23","Finish Net
02:56:59","Finish Gun
02:58:24"
2215,118,2215,"Moran, Emily","Team
–","Team
–","HALF
01:27:13","Finish Net
02:57:01","Finish Gun
02:57:44"
2219,119,2219,"Mendoza, Connie","Team
–","Team
–","HALF
01:24:11","Finish Net
02:57:02","Finish Gun
03:03:21"
2231,120,2231,"Robison, Kristen","Team
–","Team
–","HALF
01:26:47","Finish Net
02:57:05","Finish Gun
03:01:50"
2243,121,2243,"Arquette, Meghan","Team
–","Team
–","HALF
01:27:46","Finish Net
02:57:08","Finish Gun
03:01:26"
2244,122,2244,"Hawkins, Julia","Team
–","Team
–","HALF
01:27:14","Finish Net
02:57:09","Finish Gun
03:00:32"
2250,123,2250,"Chediak, Grace","Team
–","Team
–","HALF
01:27:09","Finish Net
02:57:12","Finish Gun
03:02:09"
