Overall Place,Gender Place,Division Place,Name,BIB,Team,Half,Finish Net,Finish Gun
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Place Overall,Place Gender,Place Overall,Name,,,,,
24181,10192,24181,"Fisk, Nicolene","Team
–","Team
–","HALF
02:28:48","Finish Net
05:26:56","Finish Gun
05:30:32"
24186,10193,24186,"Riggle, Kelly","Team
–","Team
–","HALF
02:33:31","Finish Net
05:27:02","Finish Gun
05:35:25"
24188,10194,24188,"Portmann, Rosmarie","Team
–","Team
–","HALF
02:33:01","Finish Net
05:27:03","Finish Gun
05:37:09"
24189,10195,24189,"Vlahovic, Marina","Team
–","Team
–","HALF
02:26:52","Finish Net
05:27:04","Finish Gun
05:35:04"
24190,10196,24190,"Henry, Thanayi","Team
–","Team
–","HALF
02:28:34","Finish Net
05:27:05","Finish Gun
05:35:43"
24192,10197,24192,"Kehayias, Gabriella","Team
–","Team
–","HALF
02:33:37","Finish Net
05:27:07","Finish Gun
05:36:59"
24193,10198,24193,"Hagen, Lauren","Team
–","Team
–","HALF
02:37:27","Finish Net
05:27:07","Finish Gun
05:30:14"
24196,10199,24196,"Knight, Kalimah","Team
–","Team
–","HALF
02:28:43","Finish Net
05:27:14","Finish Gun
05:35:43"
24198,10200,24198,"Hammond, Shannon","Team
–","Team
–","HALF
02:26:31","Finish Net
05:27:17","Finish Gun
05:36:22"
24201,10201,24201,"Weeden, Aimee","Team
–","Team
–","HALF
02:32:30","Finish Net
05:27:20","Finish Gun
05:30:02"
24205,10202,24205,"Mcmanama, Taylor","Team
–","Team
–","HALF
02:46:27","Finish Net
05:27:26","Finish Gun
05:27:52"
24206,10203,24206,"Silva, Nancy","Team
–","Team
–","HALF
02:33:41","Finish Net
05:27:29","Finish Gun
05:34:45"
24207,10204,24207,"Horgan, Marissa","Team
–","Team
–","HALF
02:30:33","Finish Net
05:27:30","Finish Gun
05:27:47"
24209,10205,24209,"Green, Emma","Team
–","Team
–","HALF
02:29:01","Finish Net
05:27:36","Finish Gun
05:29:47"
24211,10206,24211,"Tranter, Rachel","Team
–","Team
–","HALF
02:34:03","Finish Net
05:27:40","Finish Gun
05:37:06"
24212,10207,24212,"Taylor, Adina","Team
–","Team
–","HALF
02:35:35","Finish Net
05:27:44","Finish Gun
05:34:32"
24213,10208,24213,"Soucy, Jessica","Team
–","Team
–","HALF
02:06:22","Finish Net
05:27:47","Finish Gun
05:39:48"
24219,10209,24219,"Fifield, Marguerite","Team
–","Team
–","HALF
02:40:59","Finish Net
05:28:02","Finish Gun
05:31:45"
24225,10210,24225,"Miller, Valerie","Team
–","Team
–","HALF
02:25:04","Finish Net
05:28:05","Finish Gun
05:37:40"
24227,10211,24227,"Taylor, Laurel","Team
–","Team
–","HALF
02:18:36","Finish Net
05:28:08","Finish Gun
05:36:48"
24229,10212,24229,"Daniels, Lauren Carey","Team
–","Team
–","HALF
02:53:23","Finish Net
05:28:09","Finish Gun
05:30:05"
24230,10213,24230,"Bogart, Lauren","Team
–","Team
–","HALF
02:28:52","Finish Net
05:28:10","Finish Gun
05:33:51"
24232,10214,24232,"Pope, Celia","Team
–","Team
–","HALF
02:30:47","Finish Net
05:28:17","Finish Gun
05:38:23"
24233,10215,24233,"Meyer, Teresa","Team
–","Team
–","HALF
02:23:46","Finish Net
05:28:18","Finish Gun
05:33:14"
24234,10216,24234,"Belair, Ethel","Team
–","Team
–","HALF
02:33:31","Finish Net
05:28:20","Finish Gun
05:39:57"
24235,10217,24235,"Meyer, Eve","Team
–","Team
–","HALF
02:27:34","Finish Net
05:28:20","Finish Gun
05:33:12"
24236,10218,24236,"Colleran, Bethany","Team
–","Team
–","HALF
02:46:10","Finish Net
05:28:21","Finish Gun
05:31:22"
24237,10219,24237,"Pugh, January","Team
–","Team
–","HALF
02:30:52","Finish Net
05:28:22","Finish Gun
05:34:37"
24240,10220,24240,"Dooling, Jennifer","Team
–","Team
–","HALF
02:31:20","Finish Net
05:28:25","Finish Gun
05:32:32"
24245,10221,24245,"Handy, Beverly","Team
–","Team
–","HALF
02:28:56","Finish Net
05:28:34","Finish Gun
05:31:06"
24246,10222,24246,"Eagleton, Iris","Team
–","Team
–","HALF
02:41:55","Finish Net
05:28:34","Finish Gun
05:29:11"
24247,10223,24247,"Manganaro, Brittany","Team
–","Team
–","HALF
02:42:05","Finish Net
05:28:35","Finish Gun
05:29:58"
24249,10224,24249,"Austin, Ericka","Team
–","Team
–","HALF
02:33:12","Finish Net
05:28:37","Finish Gun
05:38:49"
24252,10225,24252,"Thaddeus, Micha","Team
–","Team
–","HALF
02:31:20","Finish Net
05:28:42","Finish Gun
05:35:28"
24255,10226,24255,"Brown, Emily","Team
–","Team
–","HALF
02:32:11","Finish Net
05:28:42","Finish Gun
05:33:59"
24259,10227,24259,"Wagner, Amanda","Team
–","Team
–","HALF
02:28:38","Finish Net
05:28:45","Finish Gun
05:30:47"
24260,10228,24260,"Hales, Alice","Team
–","Team
–","HALF
02:31:24","Finish Net
05:28:48","Finish Gun
05:32:58"
24266,10229,24266,"Dimaggio, Marianna","Team
–","Team
–","HALF
02:35:48","Finish Net
05:29:01","Finish Gun
05:31:40"
24270,10230,24270,"Soughley, Ashley","Team
–","Team
–","HALF
02:31:27","Finish Net
05:29:07","Finish Gun
05:32:22"
24271,10231,24271,"Lozano, Crystal","Team
–","Team
–","HALF
02:33:09","Finish Net
05:29:08","Finish Gun
05:30:31"
24272,10232,24272,"Mcpeck, Alison","Team
–","Team
–","HALF
02:37:27","Finish Net
05:29:12","Finish Gun
05:32:00"
24276,10233,24276,"Kawka, Jaclyn","Team
–","Team
–","HALF
02:06:44","Finish Net
05:29:20","Finish Gun
05:37:24"
24277,10234,24277,"Broccoli, Julia","Team
–","Team
–","HALF
02:28:00","Finish Net
05:29:29","Finish Gun
05:29:47"
24278,10235,24278,"Ward, Sarah","Team
–","Team
–","HALF
02:28:50","Finish Net
05:29:33","Finish Gun
05:32:23"
24280,10236,24280,"Dupey, Peggy","Team
–","Team
–","HALF
02:37:55","Finish Net
05:29:34","Finish Gun
05:30:20"
24283,10237,24283,"Kuo, Ling-Ling","Team
–","Team
–","HALF
02:24:18","Finish Net
05:29:37","Finish Gun
05:34:50"
24287,10238,24287,"Rosseel, Kathryn","Team
–","Team
–","HALF
02:31:26","Finish Net
05:29:44","Finish Gun
05:29:57"
24288,10239,24288,"Moon, Melanie","Team
–","Team
–","HALF
02:31:07","Finish Net
05:29:45","Finish Gun
05:29:50"
24291,10240,24291,"Grijalvo, Ana","Team
–","Team
–","HALF
02:33:03","Finish Net
05:29:50","Finish Gun
05:34:09"
24293,10241,24293,"Eskander, Megan","Team
–","Team
–","HALF
02:22:53","Finish Net
05:29:52","Finish Gun
05:32:41"
24297,10242,24297,"Verdadero, Yasmin","Team
–","Team
–","HALF
02:31:54","Finish Net
05:29:55","Finish Gun
05:37:28"
24298,10243,24298,"Chang, Kate","Team
–","Team
–","HALF
02:29:16","Finish Net
05:29:55","Finish Gun
05:32:14"
24299,10244,24299,"English, Stephanie","Team
–","Team
–","HALF
02:21:49","Finish Net
05:29:57","Finish Gun
05:36:44"
24300,10245,24300,"Davis, Kristin","Team
–","Team
–","HALF
02:40:49","Finish Net
05:29:59","Finish Gun
05:31:01"
24301,10246,24301,"Finnegan, Angelia","Team
–","Team
–","HALF
02:31:05","Finish Net
05:30:01","Finish Gun
05:40:25"
24302,10247,24302,"Coleman, Mamie","Team
–","Team
–","HALF
02:30:37","Finish Net
05:30:03","Finish Gun
05:33:06"
24303,10248,24303,"Younga, Song","Team
–","Team
–","HALF
02:23:19","Finish Net
05:30:06","Finish Gun
05:39:56"
24305,10249,24305,"Hanson, Kaci","Team
–","Team
–","HALF
02:20:50","Finish Net
05:30:06","Finish Gun
05:57:20"
24306,10250,24306,"Steele, Tifanie","Team
–","Team
–","HALF
02:20:49","Finish Net
05:30:06","Finish Gun
05:32:20"
24307,10251,24307,"Merkys, Victoria","Team
–","Team
–","HALF
02:20:49","Finish Net
05:30:06","Finish Gun
05:32:20"
24308,10252,24308,"Kim, Mihae","Team
–","Team
–","HALF
02:23:19","Finish Net
05:30:07","Finish Gun
05:39:57"
24309,10253,24309,"Seo, Hyunmi","Team
–","Team
–","HALF
02:23:19","Finish Net
05:30:07","Finish Gun
05:39:56"
24310,10254,24310,"Ahn, Youjung","Team
–","Team
–","HALF
02:23:20","Finish Net
05:30:07","Finish Gun
05:39:56"
24311,10255,24311,"Kim, Minja","Team
–","Team
–","HALF
02:23:20","Finish Net
05:30:07","Finish Gun
05:39:56"
24314,10256,24314,"Holland, Julia","Team
–","Team
–","HALF
02:36:32","Finish Net
05:30:12","Finish Gun
05:33:15"
24316,10257,24316,"Tullio, Jennifer","Team
–","Team
–","HALF
02:23:20","Finish Net
05:30:13","Finish Gun
05:38:06"
24317,10258,24317,"Scalera, Fernanda","Team
–","Team
–","HALF
02:23:20","Finish Net
05:30:13","Finish Gun
05:38:06"
24318,10259,24318,"Lee, Jenny","Team
–","Team
–","HALF
02:16:43","Finish Net
05:30:13","Finish Gun
05:31:21"
24319,10260,24319,"Sallan, Sarah","Team
–","Team
–","HALF
02:37:11","Finish Net
05:30:16","Finish Gun
05:31:41"
24320,10261,24320,"O'Neill, Allison","Team
–","Team
–","HALF
02:37:11","Finish Net
05:30:16","Finish Gun
05:31:41"
24321,10262,24321,"Ward, Laura","Team
–","Team
–","HALF
02:34:39","Finish Net
05:30:17","Finish Gun
05:37:26"
24322,10263,24322,"Stapleton, Erica","Team
–","Team
–","HALF
02:25:51","Finish Net
05:30:19","Finish Gun
05:39:10"
24323,10264,24323,"Mooney, Shannon","Team
–","Team
–","HALF
02:25:02","Finish Net
05:30:21","Finish Gun
05:41:07"
24324,10265,24324,"Hurley, Susan","Team
–","Team
–","HALF
02:31:33","Finish Net
05:30:23","Finish Gun
05:40:11"
24327,10266,24327,"Walch, Kimberly","Team
–","Team
–","HALF
02:26:01","Finish Net
05:30:25","Finish Gun
05:37:57"
24328,10267,24328,"Peressutti, Gabriella","Team
–","Team
–","HALF
02:35:21","Finish Net
05:30:25","Finish Gun
05:39:17"
24329,10268,24329,"Scammon, Erinn","Team
–","Team
–","HALF
02:42:47","Finish Net
05:30:26","Finish Gun
05:34:17"
24331,10269,24331,"Chang, Rachel","Team
–","Team
–","HALF
02:33:32","Finish Net
05:30:27","Finish Gun
05:42:49"
24332,10270,24332,"Calhoun, Nicole","Team
–","Team
–","HALF
02:33:15","Finish Net
05:30:29","Finish Gun
05:41:32"
24334,10271,24334,"Feng, Liping","Team
–","Team
–","HALF
02:34:39","Finish Net
05:30:32","Finish Gun
05:40:32"
24336,10272,24336,"O'connell, Joanne","Team
–","Team
–","HALF
02:34:38","Finish Net
05:30:33","Finish Gun
05:40:49"
24338,10273,24338,"Pauline, Kirsten","Team
–","Team
–","HALF
02:31:19","Finish Net
05:30:36","Finish Gun
05:38:15"
24339,10274,24339,"Jordan, Robbin","Team
–","Team
–","HALF
02:35:50","Finish Net
05:30:37","Finish Gun
05:32:04"
24342,10275,24342,"Devlin, Maria","Team
–","Team
–","HALF
02:32:30","Finish Net
05:30:41","Finish Gun
05:41:04"
24343,10276,24343,"Calandra, Danielle","Team
–","Team
–","HALF
02:37:43","Finish Net
05:30:41","Finish Gun
05:32:31"
24345,10277,24345,"Preechasammakul, Somkid","Team
–","Team
–","HALF
02:38:38","Finish Net
05:30:43","Finish Gun
05:37:04"
24347,10278,24347,"Carmona, Katie","Team
–","Team
–","HALF
02:22:29","Finish Net
05:30:47","Finish Gun
05:40:47"
24348,10279,24348,"Blanchard, Carol","Team
–","Team
–","HALF
02:30:00","Finish Net
05:30:47","Finish Gun
05:35:21"
24349,10280,24349,"Puttkammer, Kathryn","Team
–","Team
–","HALF
02:38:38","Finish Net
05:30:48","Finish Gun
05:40:48"
24350,10281,24350,"Miller, Kristen","Team
–","Team
–","HALF
02:39:10","Finish Net
05:30:49","Finish Gun
05:31:40"
24354,10282,24354,"Cuevas, Maria De La Luz","Team
–","Team
–","HALF
02:25:04","Finish Net
05:30:55","Finish Gun
05:40:52"
24356,10283,24356,"Axelrod, Lauren","Team
–","Team
–","HALF
02:40:43","Finish Net
05:30:58","Finish Gun
05:38:58"
24357,10284,24357,"Kim, Jung Ok","Team
–","Team
–","HALF
02:26:59","Finish Net
05:31:04","Finish Gun
05:39:29"
24358,10285,24358,"Milite, Maggie","Team
–","Team
–","HALF
02:25:58","Finish Net
05:31:04","Finish Gun
05:35:43"
24359,10286,24359,"Jung, Yun Kyung","Team
–","Team
–","HALF
02:26:58","Finish Net
05:31:04","Finish Gun
05:39:29"
24360,10287,24360,"Lee, Mi Ju","Team
–","Team
–","HALF
02:26:59","Finish Net
05:31:05","Finish Gun
05:39:29"
24363,10288,24363,"Aikman, Elizabeth","Team
–","Team
–","HALF
02:31:45","Finish Net
05:31:10","Finish Gun
05:36:38"
24365,10289,24365,"Hedlund, Casey","Team
–","Team
–","HALF
02:23:42","Finish Net
05:31:10","Finish Gun
05:31:54"
24366,10290,24366,"Castro, Melissa","Team
–","Team
–","HALF
02:36:51","Finish Net
05:31:11","Finish Gun
05:38:27"
24367,10291,24367,"Benson, Leah","Team
–","Team
–","HALF
02:32:15","Finish Net
05:31:13","Finish Gun
05:32:01"
24369,10292,24369,"Ostrander, Heather","Team
–","Team
–","HALF
02:37:36","Finish Net
05:31:15","Finish Gun
05:31:41"
24374,10293,24374,"Dallenbach, Jean","Team
–","Team
–","HALF
02:27:47","Finish Net
05:31:25","Finish Gun
05:41:49"
24378,10294,24378,"Flecchia, Samantha","Team
–","Team
–","HALF
02:21:09","Finish Net
05:31:37","Finish Gun
05:32:07"
24379,10295,24379,"Allen, Caroline","Team
–","Team
–","HALF
02:26:37","Finish Net
05:31:37","Finish Gun
05:32:05"
24381,10296,24381,"Aslanian, Denise","Team
–","Team
–","HALF
02:29:59","Finish Net
05:31:42","Finish Gun
05:42:16"
24383,10297,24383,"Chokler, Elena","Team
–","Team
–","HALF
02:28:01","Finish Net
05:31:43","Finish Gun
05:34:21"
24385,10298,24385,"Mackenzie, Noeleen","Team
–","Team
–","HALF
02:22:20","Finish Net
05:31:44","Finish Gun
05:38:04"
24386,10299,24386,"Kerrigan, Adrienne","Team
–","Team
–","HALF
02:37:16","Finish Net
05:31:45","Finish Gun
05:32:29"
24390,10300,24390,"Casey, Emily","Team
–","Team
–","HALF
02:34:44","Finish Net
05:31:50","Finish Gun
05:35:36"
24391,10301,24391,"Barton, Crystal","Team
–","Team
–","HALF
02:18:31","Finish Net
05:31:50","Finish Gun
05:40:08"
24392,10302,24392,"Fitzgerald, Megan","Team
–","Team
–","HALF
02:30:27","Finish Net
05:31:50","Finish Gun
05:32:06"
24394,10303,24394,"Connell, Krystal","Team
–","Team
–","HALF
02:30:52","Finish Net
05:31:52","Finish Gun
05:41:55"
24395,10304,24395,"Lamb, Maura","Team
Colonial Road Runners","Team
Colonial Road Runners","HALF
02:36:38","Finish Net
05:31:54","Finish Gun
05:36:39"
24397,10305,24397,"Moran, Barbara","Team
–","Team
–","HALF
02:38:01","Finish Net
05:32:00","Finish Gun
05:41:03"
24398,10306,24398,"Quinn, Malgorzata","Team
–","Team
–","HALF
02:24:14","Finish Net
05:32:01","Finish Gun
05:40:11"
24399,10307,24399,"St Clare, Robin","Team
–","Team
–","HALF
02:30:06","Finish Net
05:32:02","Finish Gun
05:43:00"
24400,10308,24400,"Mescher, Julie","Team
–","Team
–","HALF
02:31:18","Finish Net
05:32:02","Finish Gun
05:42:59"
24403,10309,24403,"Desiato, Brittany","Team
–","Team
–","HALF
02:27:42","Finish Net
05:32:03","Finish Gun
05:38:52"
24405,10310,24405,"Amory, Melissa","Team
–","Team
–","HALF
02:32:43","Finish Net
05:32:04","Finish Gun
05:32:57"
24406,10311,24406,"Tam, Kai Ying","Team
–","Team
–","HALF
02:23:12","Finish Net
05:32:04","Finish Gun
05:37:06"
24409,10312,24409,"Lang, Katherine","Team
–","Team
–","HALF
02:23:48","Finish Net
05:32:08","Finish Gun
05:34:55"
24411,10313,24411,"Nielsen, Justine","Team
–","Team
–","HALF
02:34:00","Finish Net
05:32:12","Finish Gun
05:44:07"
24412,10314,24412,"Vera, Mary","Team
–","Team
–","HALF
02:42:21","Finish Net
05:32:15","Finish Gun
05:33:28"
24414,10315,24414,"Kelly, Mckenzie","Team
–","Team
–","HALF
02:19:02","Finish Net
05:32:17","Finish Gun
05:41:06"
24418,10316,24418,"Shaw, Olivia","Team
–","Team
–","HALF
02:37:25","Finish Net
05:32:19","Finish Gun
05:35:27"
24419,10317,24419,"Backeberg, Olga","Team
–","Team
–","HALF
02:27:13","Finish Net
05:32:19","Finish Gun
05:41:59"
24420,10318,24420,"Logue, Kaelin","Team
–","Team
–","HALF
02:38:56","Finish Net
05:32:20","Finish Gun
05:32:47"
24421,10319,24421,"Choi, Meeheh","Team
Korean American Running Team","Team
Korean American Running Team","HALF
02:32:12","Finish Net
05:32:23","Finish Gun
05:40:09"
24424,10320,24424,"Li, Cheuk Lam Joyce","Team
–","Team
–","HALF
02:28:13","Finish Net
05:32:33","Finish Gun
05:35:33"
24426,10321,24426,"Fuller, Amanda","Team
–","Team
–","HALF
02:24:30","Finish Net
05:32:36","Finish Gun
05:35:29"
24428,10322,24428,"Pedro, Gina","Team
–","Team
–","HALF
02:30:13","Finish Net
05:32:40","Finish Gun
05:38:28"
24429,10323,24429,"Burke, Shea","Team
–","Team
–","HALF
02:38:44","Finish Net
05:32:41","Finish Gun
05:36:40"
24430,10324,24430,"Mc Conn, Denise","Team
–","Team
–","HALF
02:31:08","Finish Net
05:32:42","Finish Gun
05:44:01"
24431,10325,24431,"Mitchener, Lori","Team
Crow Athletics","Team
Crow Athletics","HALF
02:20:43","Finish Net
05:32:42","Finish Gun
05:40:00"
24432,10326,24432,"Lindahl, Mary","Team
–","Team
–","HALF
02:34:03","Finish Net
05:32:42","Finish Gun
05:43:44"
24437,10327,24437,"Zhang, Jianhua","Team
–","Team
–","HALF
02:22:03","Finish Net
05:32:49","Finish Gun
05:37:20"
24438,10328,24438,"Johnson, Melissa","Team
–","Team
–","HALF
02:43:10","Finish Net
05:32:49","Finish Gun
05:35:31"
24439,10329,24439,"Rullie, Marcia","Team
–","Team
–","HALF
02:34:37","Finish Net
05:32:50","Finish Gun
05:44:00"
24442,10330,24442,"Irvine, Meaghan","Team
–","Team
–","HALF
02:33:32","Finish Net
05:32:51","Finish Gun
05:34:54"
24444,10331,24444,"Dumas, Annie","Team
–","Team
–","HALF
02:29:55","Finish Net
05:32:52","Finish Gun
05:57:55"
24448,10332,24448,"Tjokrosaputro, Denise","Team
–","Team
–","HALF
02:36:37","Finish Net
05:32:59","Finish Gun
05:33:39"
24449,10333,24449,"Imperillo, Jennifer","Team
–","Team
–","HALF
02:29:52","Finish Net
05:32:59","Finish Gun
05:35:19"
24450,10334,24450,"Korona, Jenn","Team
–","Team
–","HALF
02:38:24","Finish Net
05:33:02","Finish Gun
05:33:27"
24453,10335,24453,"Karkos, Denise","Team
–","Team
–","HALF
02:34:44","Finish Net
05:33:08","Finish Gun
05:42:16"
24454,10336,24454,"Miner, Elizabeth","Team
–","Team
–","HALF
02:29:44","Finish Net
05:33:08","Finish Gun
05:33:25"
24457,10337,24457,"Pugsley, Katherine","Team
–","Team
–","HALF
02:35:39","Finish Net
05:33:09","Finish Gun
05:39:49"
24458,10338,24458,"Prager, Sara","Team
–","Team
–","HALF
02:40:18","Finish Net
05:33:20","Finish Gun
05:35:10"
24459,10339,24459,"Glover, Susan","Team
Colonial Road Runners","Team
Colonial Road Runners","HALF
02:31:25","Finish Net
05:33:24","Finish Gun
05:42:10"
24461,10340,24461,"Clayton, Deleica","Team
–","Team
–","HALF
02:31:37","Finish Net
05:33:25","Finish Gun
05:39:34"
24462,10341,24462,"Harris, Bridget","Team
–","Team
–","HALF
02:39:08","Finish Net
05:33:25","Finish Gun
05:37:38"
24463,10342,24463,"Forte, Ryann","Team
–","Team
–","HALF
02:39:08","Finish Net
05:33:26","Finish Gun
05:37:38"
24466,10343,24466,"Ganeshanty, Amelia Anes","Team
–","Team
–","HALF
02:39:29","Finish Net
05:33:30","Finish Gun
05:39:18"
24467,10344,24467,"Connor, Kelly","Team
–","Team
–","HALF
02:34:29","Finish Net
05:33:32","Finish Gun
05:41:54"
24468,10345,24468,"Dowd, Jane","Team
–","Team
–","HALF
02:39:49","Finish Net
05:33:38","Finish Gun
05:40:44"
24470,10346,24470,"Anziani, Karine","Team
–","Team
–","HALF
02:36:56","Finish Net
05:33:41","Finish Gun
05:38:53"
24471,10347,24471,"Parks, Kathryn","Team
–","Team
–","HALF
02:20:41","Finish Net
05:33:42","Finish Gun
05:41:29"
24473,10348,24473,"Le Beau, Tracy","Team
–","Team
–","HALF
02:35:27","Finish Net
05:33:46","Finish Gun
05:41:04"
24474,10349,24474,"Norwood, Kaitlynn","Team
–","Team
–","HALF
02:35:01","Finish Net
05:33:46","Finish Gun
05:36:57"
24475,10350,24475,"Beers, Samantha","Team
–","Team
–","HALF
02:35:01","Finish Net
05:33:46","Finish Gun
05:36:57"
24476,10351,24476,"Weese, Diane","Team
–","Team
–","HALF
02:37:21","Finish Net
05:33:47","Finish Gun
05:45:11"
24477,10352,24477,"Garcia, Cecille Marie","Team
–","Team
–","HALF
02:34:41","Finish Net
05:33:47","Finish Gun
05:37:23"
24478,10353,24478,"Byer, Alexandria","Team
–","Team
–","HALF
02:33:59","Finish Net
05:33:52","Finish Gun
05:33:55"
24479,10354,24479,"Pasquarosa, Jennifer","Team
–","Team
–","HALF
02:35:47","Finish Net
05:33:54","Finish Gun
05:44:17"
24480,10355,24480,"Gaspar, Jennifer","Team
–","Team
–","HALF
02:35:49","Finish Net
05:33:54","Finish Gun
05:44:17"
24481,10356,24481,"Austin, Towalame","Team
–","Team
–","HALF
02:30:37","Finish Net
05:33:58","Finish Gun
05:37:01"
24482,10357,24482,"Dunn, Nina","Team
–","Team
–","HALF
02:41:17","Finish Net
05:34:02","Finish Gun
05:44:56"
24485,10358,24485,"Meehan, Lisa","Team
–","Team
–","HALF
02:26:47","Finish Net
05:34:07","Finish Gun
05:40:46"
24487,10359,24487,"Lake, Corina","Team
–","Team
–","HALF
02:33:17","Finish Net
05:34:07","Finish Gun
05:35:02"
24488,10360,24488,"Durfee, Kyra","Team
–","Team
–","HALF
02:38:47","Finish Net
05:34:09","Finish Gun
05:39:46"
24491,10361,24491,"Sullivan, Olivia","Team
Winner's Circle Running Club","Team
Winner's Circle Running Club","HALF
02:32:01","Finish Net
05:34:14","Finish Gun
05:35:19"
24496,10362,24496,"Gillman, Katherine","Team
–","Team
–","HALF
02:40:29","Finish Net
05:34:30","Finish Gun
05:40:08"
24498,10363,24498,"Bell, Patricia","Team
–","Team
–","HALF
02:35:07","Finish Net
05:34:33","Finish Gun
05:35:51"
24500,10364,24500,"Casey, Linda","Team
–","Team
–","HALF
02:32:51","Finish Net
05:34:34","Finish Gun
05:35:16"
24501,10365,24501,"Jalla, Deepika","Team
–","Team
–","HALF
02:33:53","Finish Net
05:34:35","Finish Gun
05:39:02"
24503,10366,24503,"Ahn, Stella","Team
–","Team
–","HALF
02:08:51","Finish Net
05:34:39","Finish Gun
05:42:52"
24504,10367,24504,"Flaherty, Tiffany","Team
–","Team
–","HALF
02:46:05","Finish Net
05:34:40","Finish Gun
05:35:08"
24508,10368,24508,"Calvert, Deirdre","Team
–","Team
–","HALF
02:15:04","Finish Net
05:34:45","Finish Gun
05:42:52"
24509,10369,24509,"Granara, Jordyn","Team
–","Team
–","HALF
02:34:11","Finish Net
05:34:45","Finish Gun
05:35:59"
24510,10370,24510,"Spinazola, Jamie","Team
–","Team
–","HALF
02:34:12","Finish Net
05:34:46","Finish Gun
05:36:00"
24511,10371,24511,"Keady, Lauren","Team
–","Team
–","HALF
02:11:57","Finish Net
05:34:47","Finish Gun
05:34:53"
24512,10372,24512,"Ryll, Anika","Team
–","Team
–","HALF
02:27:05","Finish Net
05:34:48","Finish Gun
05:46:09"
24513,10373,24513,"Kim, Hyunju","Team
–","Team
–","HALF
02:35:12","Finish Net
05:34:48","Finish Gun
05:40:22"
24515,10374,24515,"Cottage, Megan","Team
–","Team
–","HALF
02:45:21","Finish Net
05:34:53","Finish Gun
05:37:00"
24516,10375,24516,"Flores, Jessica","Team
–","Team
–","HALF
02:36:00","Finish Net
05:35:01","Finish Gun
05:47:14"
24517,10376,24517,"Noble, Anne","Team
–","Team
–","HALF
02:34:11","Finish Net
05:35:03","Finish Gun
05:35:06"
24522,10377,24522,"Stubbs, Kelly","Team
–","Team
–","HALF
02:30:34","Finish Net
05:35:11","Finish Gun
05:44:22"
24525,10378,24525,"Federico, Beth","Team
–","Team
–","HALF
02:38:58","Finish Net
05:35:15","Finish Gun
05:36:26"
24526,10379,24526,"Mcneill, Megan","Team
–","Team
–","HALF
02:37:47","Finish Net
05:35:16","Finish Gun
05:39:36"
24528,10380,24528,"Gama Osuna, Gracia","Team
–","Team
–","HALF
02:35:34","Finish Net
05:35:18","Finish Gun
05:46:03"
24529,10381,24529,"Puddu, Silvana","Team
–","Team
–","HALF
02:39:17","Finish Net
05:35:22","Finish Gun
05:45:08"
24532,10382,24532,"Galland, Taylor","Team
–","Team
–","HALF
02:30:09","Finish Net
05:35:27","Finish Gun
05:35:56"
24536,10383,24536,"Maruyama, Kyoko","Team
–","Team
–","HALF
02:00:54","Finish Net
05:35:34","Finish Gun
05:44:50"
24537,10384,24537,"Karaman, Tanya","Team
–","Team
–","HALF
02:16:18","Finish Net
05:35:34","Finish Gun
05:41:50"
24539,10385,24539,"Weir, Fiona","Team
–","Team
–","HALF
02:38:22","Finish Net
05:35:43","Finish Gun
05:37:56"
24540,10386,24540,"O'brien, Hayley","Team
–","Team
–","HALF
02:38:23","Finish Net
05:35:44","Finish Gun
05:37:56"
24542,10387,24542,"Thomas, Debra","Team
–","Team
–","HALF
02:32:38","Finish Net
05:35:49","Finish Gun
05:36:48"
24545,10388,24545,"Langlois, Melinda","Team
–","Team
–","HALF
02:37:20","Finish Net
05:35:50","Finish Gun
05:41:29"
24548,10389,24548,"Voigt, Rachel","Team
–","Team
–","HALF
02:31:32","Finish Net
05:35:54","Finish Gun
05:42:03"
24549,10390,24549,"Montgomery, Petra","Team
–","Team
–","HALF
02:27:01","Finish Net
05:35:54","Finish Gun
05:37:02"
24550,10391,24550,"Enright, Kristin","Team
–","Team
–","HALF
02:19:49","Finish Net
05:35:55","Finish Gun
05:45:42"
24551,10392,24551,"Bernard, Rebecca","Team
–","Team
–","HALF
02:20:25","Finish Net
05:35:56","Finish Gun
05:39:41"
24553,10393,24553,"Carty, Fidelma","Team
–","Team
–","HALF
02:32:17","Finish Net
05:35:58","Finish Gun
05:44:03"
24555,10394,24555,"Szymanski, Talia","Team
–","Team
–","HALF
02:29:43","Finish Net
05:36:01","Finish Gun
05:45:20"
24556,10395,24556,"Huang, Biyu","Team
–","Team
–","HALF
02:28:58","Finish Net
05:36:03","Finish Gun
05:36:32"
24559,10396,24559,"Pettit, Emma","Team
–","Team
–","HALF
02:32:44","Finish Net
05:36:12","Finish Gun
05:46:11"
24562,10397,24562,"Flaherty, Keira","Team
–","Team
–","HALF
02:29:25","Finish Net
05:36:14","Finish Gun
05:45:24"
24564,10398,24564,"Flaherty, Meghan","Team
–","Team
–","HALF
02:29:25","Finish Net
05:36:14","Finish Gun
05:45:24"
24566,10399,24566,"Ellison, Kristin","Team
–","Team
–","HALF
02:43:42","Finish Net
05:36:24","Finish Gun
05:37:36"
24567,10400,24567,"Ascencio, Wanda","Team
–","Team
–","HALF
02:34:31","Finish Net
05:36:24","Finish Gun
05:46:37"
